ko	pathway	product	map
V1266420	K09014	General function prediction only	Fe-S cluster assembly protein SufB	99996
V1266428	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1266514	K13788	Citrate cycle (TCA cycle)	phosphate acetyltransferase	map00770
V1266525	K02004	Transporters	putative ABC transport system permease protein	ko02000
V1266592	K00043	Butanoate metabolism	4-hydroxybutyrate dehydrogenase	map00650
V1266647	K04077	Molecular chaperones	chaperonin GroEL	ko03110
V1266685	K06207	Signaling proteins	GTP-binding protein	99995
V1266860	K09013	Transporters	Fe-S cluster assembly ATP-binding protein	ko02000
V1266924	K02077	Transporters	zinc/manganese transport system substrate-binding protein	ko02000
V1267044	K00975	Amino sugar and nucleotide sugar metabolism	glucose-1-phosphate adenylyltransferase	map00520
V1267072	K03431	Amino sugar and nucleotide sugar metabolism	phosphoglucosamine mutase	map00520
V1267165	K02335	DNA replication	DNA polymerase I	map03030
V1267250	K00075	Peptidoglycan biosynthesis	UDP-N-acetylmuramate dehydrogenase	map00550
V1267265	K03431	Amino sugar and nucleotide sugar metabolism	phosphoglucosamine mutase	map00520
V1267266	K11533	Fatty acid biosynthesis	fatty acid synthase, bacteria type	map00061
V1267267	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267268	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267269	K01238	Enzymes with EC numbers	SUN family beta-glucosidase	99980
V1267271	K02006	ABC transporters	cobalt/nickel transport system ATP-binding protein	map02010
V1267273	K02341	DNA replication	DNA polymerase III subunit delta'	map03030
V1267275	K06287	Pyrimidine metabolism	nucleoside triphosphate pyrophosphatase	map00240
V1267276	K08300	RNA degradation	ribonuclease E	map03018
V1267280	K01823	Terpenoid backbone biosynthesis	isopentenyl-diphosphate Delta-isomerase	map00900
V1267284	K07386	Peptidases and inhibitors	putative endopeptidase	ko01002
V1267285	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267288	K01923	Purine metabolism	phosphoribosylaminoimidazole-succinocarboxamide synthase	map00230
V1267289	K07284	Peptidoglycan biosynthesis and degradation proteins	sortase A	ko01011
V1267290	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267291	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267293	K03466	Chromosome and associated proteins	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	ko03036
V1267294	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267295	K01153	Prokaryotic defense system	type I restriction enzyme, R subunit	ko02048
V1267296	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267298	K02034	Quorum sensing	peptide/nickel transport system permease protein	map02024
V1267300	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267301	K03657	Nucleotide excision repair	ATP-dependent DNA helicase UvrD/PcrA	map03420
V1267304	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267308	K01259	Arginine and proline metabolism	proline iminopeptidase	map00330
V1267309	K06147	Transporters	ATP-binding cassette, subfamily B, bacterial	ko02000
V1267311	K02470	DNA replication	DNA gyrase subunit B	map03030
V1267312	K03466	Chromosome and associated proteins	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	ko03036
V1267318	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267319	K01443	Amino sugar and nucleotide sugar metabolism	N-acetylglucosamine-6-phosphate deacetylase	map00520
V1267321	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267323	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267325	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267327	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267332	K01529	Purine metabolism	inosine/xanthosine triphosphatase	map00230
V1267333	K02035	Quorum sensing	peptide/nickel transport system substrate-binding protein	map02024
V1267334	K03596	Legionellosis	GTP-binding protein LepA	map05134
V1267338	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267339	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267342	K02050	Transporters	NitT/TauT family transport system permease protein	ko02000
V1267343	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267345	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267347	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1267350	K01990	Transporters	ABC-2 type transport system ATP-binding protein	ko02000
V1267355	K07230	Transporters	periplasmic iron binding protein	ko02000
V1267357	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267362	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267369	K07029	Glycerolipid metabolism	diacylglycerol kinase (ATP)	map00561
V1267378	K00043	Butanoate metabolism	4-hydroxybutyrate dehydrogenase	map00650
V1267382	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267383	K00602	Purine metabolism	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	map00230
V1267384	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267388	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267389	K02357	Translation factors	elongation factor Ts	ko03012
V1267391	K00847	Fructose and mannose metabolism	fructokinase	map00051
V1267395	K02897	Ribosome	large subunit ribosomal protein L25	map03010
V1267398	K07114	Transporters	Ca-activated chloride channel homolog	ko02000
V1267399	K00705	Starch and sucrose metabolism	4-alpha-glucanotransferase	map00500
V1267405	K10005	ABC transporters	glutamate transport system substrate-binding protein	map02010
V1267406	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267417	K02863	Ribosome	large subunit ribosomal protein L1	map03010
V1267420	K09014	General function prediction only	Fe-S cluster assembly protein SufB	99996
V1267425	K00847	Fructose and mannose metabolism	fructokinase	map00051
V1267429	K02036	ABC transporters	phosphate transport system ATP-binding protein	map02010
V1267431	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267435	K03043	RNA polymerase	DNA-directed RNA polymerase subunit beta	map03020
V1267440	K07642	Two-component system	two-component system, OmpR family, sensor histidine kinase BaeS	map02020
V1267451	K07173	Quorum sensing	S-ribosylhomocysteine lyase	map02024
V1267453	K01885	Aminoacyl-tRNA biosynthesis	glutamyl-tRNA synthetase	map00970
V1267454	K01423	Peptidases and inhibitors	beta-barrel assembly-enhancing protease	ko01002
V1267468	K04068	Enzymes with EC numbers	anaerobic ribonucleoside-triphosphate reductase activating protein	99980
V1267469	K02033	Quorum sensing	peptide/nickel transport system permease protein	map02024
V1267474	K00016	Pyruvate metabolism	L-lactate dehydrogenase	map00620
V1267476	K01752	Glycine, serine and threonine metabolism	L-serine dehydratase	map00260
V1267481	K00789	Cysteine and methionine metabolism	S-adenosylmethionine synthetase	map00270
V1267502	K00527	Purine metabolism	ribonucleoside-triphosphate reductase (thioredoxin)	map00230
V1267515	K06191	Protein processing	glutaredoxin-like protein NrdH	99975
V1267525	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267537	K07738	Transcription factors	transcriptional repressor NrdR	ko03000
V1267549	K01624	Glycolysis / Gluconeogenesis	fructose-bisphosphate aldolase, class II	map00010
V1267603	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267611	K03046	RNA polymerase	DNA-directed RNA polymerase subunit beta'	map03020
V1267631	K02886	Ribosome	large subunit ribosomal protein L2	map03010
V1267642	K05879	Glycerolipid metabolism	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL	map00561
V1267647	K03497	Transcription factors	ParB family transcriptional regulator, chromosome partitioning protein	ko03000
V1267658	K04077	Molecular chaperones	chaperonin GroEL	ko03110
V1267660	K02006	ABC transporters	cobalt/nickel transport system ATP-binding protein	map02010
V1267664	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267672	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267700	K01887	Aminoacyl-tRNA biosynthesis	arginyl-tRNA synthetase	map00970
V1267717	K01358	Clp-dependent proteolysis	ATP-dependent Clp protease, protease subunit	ko01002
V1267805	K01939	Purine metabolism	adenylosuccinate synthase	map00230
V1267822	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267842	K02035	Quorum sensing	peptide/nickel transport system substrate-binding protein	map02024
V1267867	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267873	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1267933	K01239	Purine metabolism	purine nucleosidase	map00230
V1267956	K03739	Cationic antimicrobial peptide (CAMP) resistance	membrane protein involved in D-alanine export	map01503
V1268006	K02343	DNA replication	DNA polymerase III subunit gamma/tau	map03030
V1268026	K03740	Cationic antimicrobial peptide (CAMP) resistance	D-alanine transfer protein	map01503
V1268087	K03086	Transcription machinery	RNA polymerase primary sigma factor	ko03021
V1268096	K00088	Purine metabolism	IMP dehydrogenase	map00230
V1268098	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268198	K03043	RNA polymerase	DNA-directed RNA polymerase subunit beta	map03020
V1268206	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268214	K02014	Transporters	iron complex outermembrane recepter protein	ko02000
V1268218	K02406	Flagellar assembly	flagellin	map02040
V1268220	K01951	Purine metabolism	GMP synthase (glutamine-hydrolysing)	map00230
V1268223	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268228	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268234	K01256	Glutathione metabolism	aminopeptidase N	map00480
V1268235	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268240	K01200	Starch and sucrose metabolism	pullulanase	map00500
V1268242	K03072	Bacterial secretion system	preprotein translocase subunit SecD	map03070
V1268246	K03925	Transcription factors	transcriptional regulator MraZ	ko03000
V1268249	K03719	Transcription factors	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein	ko03000
V1268254	K09118	Function unknown	uncharacterized protein	99997
V1268268	K00705	Starch and sucrose metabolism	4-alpha-glucanotransferase	map00500
V1268269	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268279	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268281	K07447	Ribosome biogenesis	putative pre-16S rRNA nuclease	ko03009
V1268286	K01647	Citrate cycle (TCA cycle)	citrate synthase	map00020
V1268292	K03703	Nucleotide excision repair	excinuclease ABC subunit C	map03420
V1268295	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268298	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268302	K02435	Aminoacyl-tRNA biosynthesis	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C	map00970
V1268304	K00878	Thiamine metabolism	hydroxyethylthiazole kinase	map00730
V1268318	K03648	Base excision repair	uracil-DNA glycosylase	map03410
V1268332	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268334	K02773	Phosphotransferase system (PTS)	galactitol PTS system EIIA component	map02060
V1268335	K01529	Purine metabolism	inosine/xanthosine triphosphatase	map00230
V1268360	K00043	Butanoate metabolism	4-hydroxybutyrate dehydrogenase	map00650
V1268365	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268374	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268376	K01092	Inositol phosphate metabolism	myo-inositol-1(or 4)-monophosphatase	map00562
V1268379	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268380	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268381	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268385	K03040	RNA polymerase	DNA-directed RNA polymerase subunit alpha	map03020
V1268388	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268406	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268420	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268426	K02622	DNA replication	topoisomerase IV subunit B	map03030
V1268433	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268441	K02986	Ribosome	small subunit ribosomal protein S4	map03010
V1268443	K01885	Aminoacyl-tRNA biosynthesis	glutamyl-tRNA synthetase	map00970
V1268448	K02956	Ribosome	small subunit ribosomal protein S15	map03010
V1268449	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268452	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268455	K13288	Messenger RNA biogenesis	oligoribonuclease	ko03019
V1268460	K02519	Translation factors	translation initiation factor IF-2	ko03012
V1268476	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268483	K02004	Transporters	putative ABC transport system permease protein	ko02000
V1268488	K00525	Purine metabolism	ribonucleoside-diphosphate reductase alpha chain	map00230
V1268502	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268507	K00348	Enzymes with EC numbers	Na+-transporting NADH:ubiquinone oxidoreductase subunit C	99980
V1268508	K03147	Thiamine metabolism	phosphomethylpyrimidine synthase	map00730
V1268529	K01463	Enzymes with EC numbers	N-acetylglucosamine malate deacetylase 1	99980
V1268533	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268535	K03216	Transfer RNA biogenesis	tRNA (cytidine/uridine-2'-O-)-methyltransferase	ko03016
V1268572	K02954	Ribosome	small subunit ribosomal protein S14	map03010
V1268575	K02988	Ribosome	small subunit ribosomal protein S5	map03010
V1268594	K09013	Transporters	Fe-S cluster assembly ATP-binding protein	ko02000
V1268597	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268598	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268599	K07040	Ribosome biogenesis	DUF177 domain-containing protein	ko03009
V1268601	K03147	Thiamine metabolism	phosphomethylpyrimidine synthase	map00730
V1268613	K03684	Transfer RNA biogenesis	ribonuclease D	ko03016
V1268627	K01872	Aminoacyl-tRNA biosynthesis	alanyl-tRNA synthetase	map00970
V1268631	K03153	Thiamine metabolism	glycine oxidase	map00730
V1268635	K01868	Aminoacyl-tRNA biosynthesis	threonyl-tRNA synthetase	map00970
V1268648	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268681	K06215	Vitamin B6 metabolism	pyridoxal 5'-phosphate synthase pdxS subunit	map00750
V1268706	K01421	General function prediction only	putative membrane protein	99996
V1268723	K02926	Ribosome	large subunit ribosomal protein L4	map03010
V1268724	K02926	Ribosome	large subunit ribosomal protein L4	map03010
V1268756	K00688	Starch and sucrose metabolism	glycogen phosphorylase	map00500
V1268770	K00826	Valine, leucine and isoleucine biosynthesis	branched-chain amino acid aminotransferase	map00290
V1268786	K02120	Oxidative phosphorylation	V/A-type H+/Na+-transporting ATPase subunit D	map00190
V1268814	K02948	Ribosome	small subunit ribosomal protein S11	map03010
V1268830	K03695	Protein digestion and absorption	ATP-dependent Clp protease ATP-binding subunit ClpB	map04974
V1268901	K01923	Purine metabolism	phosphoribosylaminoimidazole-succinocarboxamide synthase	map00230
V1268929	K02884	Ribosome	large subunit ribosomal protein L19	map03010
V1268944	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1268948	K03046	RNA polymerase	DNA-directed RNA polymerase subunit beta'	map03020
V1269002	K02003	Transporters	putative ABC transport system ATP-binding protein	ko02000
V1269005	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1269093	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1269173	K02945	Ribosome	small subunit ribosomal protein S1	map03010
V1269182	K02876	Ribosome	large subunit ribosomal protein L15	map03010
V1269184	K02077	Transporters	zinc/manganese transport system substrate-binding protein	ko02000
V1269212	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1269215	K09760	Replication and repair	DNA recombination protein RmuC	99976
V1269217	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1269249	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1269260	K02113	Oxidative phosphorylation	F-type H+-transporting ATPase subunit delta	map00190
V1269313	K02952	Ribosome	small subunit ribosomal protein S13	map03010
V1269402	K00134	Glycolysis / Gluconeogenesis	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	map00010
V1269411	K01624	Glycolysis / Gluconeogenesis	fructose-bisphosphate aldolase, class II	map00010
V1269524	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1269526	K10110	ABC transporters	maltose/maltodextrin transport system permease protein	map02010
V1269573	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1269715	K02768	Phosphotransferase system (PTS)	fructose PTS system EIIA component	map02060
V1269716	K01216	Enzymes with EC numbers	licheninase	99980
V1269956	K00962	RNA degradation	polyribonucleotide nucleotidyltransferase	map03018
V1269968	K03522	Exosome	electron transfer flavoprotein alpha subunit	ko04147
V1270006	K04072	Pyruvate metabolism	acetaldehyde dehydrogenase / alcohol dehydrogenase	map00620
V1270054	K02824	Transporters	uracil permease	ko02000
V1270066	K07442	Transfer RNA biogenesis	tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit	ko03016
V1270125	K02035	Quorum sensing	peptide/nickel transport system substrate-binding protein	map02024
V1270212	K10108	ABC transporters	maltose/maltodextrin transport system substrate-binding protein	map02010
V1270214	K00688	Starch and sucrose metabolism	glycogen phosphorylase	map00500
V1270256	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1270317	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1270364	K09818	Transporters	manganese/iron transport system substrate-binding protein	ko02000
V1270373	K02886	Ribosome	large subunit ribosomal protein L2	map03010
V1270374	K02926	Ribosome	large subunit ribosomal protein L4	map03010
V1270393	K02112	Oxidative phosphorylation	F-type H+/Na+-transporting ATPase subunit beta	map00190
V1270397	K01835	Glycolysis / Gluconeogenesis	phosphoglucomutase	map00010
V1270616	K03531	Cell division	cell division protein FtsZ	map04112
V1270649	K02519	Translation factors	translation initiation factor IF-2	ko03012
V1270756	K04043	Molecular chaperones	molecular chaperone DnaK	ko03110
